Year,Equity_Return_Pct,Bond_Return_Pct,Cash_Return_Pct,Real_Estate_Return_Pct
1876,-14.2,5.34,2.45,5.28
1877,-1.38,4.83,2.45,5.28
1878,16.21,5.74,2.45,5.28
1879,49.35,3.22,2.45,5.28
1880,26.64,5.32,2.45,5.28
1881,0.27,2.72,2.45,5.28
1882,3.57,2.9,2.45,5.28
1883,-5.52,2.56,2.45,5.28
1884,-12.41,6.1,2.45,5.28
1885,29.84,3.69,2.45,5.28
1886,11.9,-0.93,2.45,5.28
1887,-0.67,4.33,2.45,5.28
1888,3.25,4.64,2.45,5.28
1889,7.02,1.74,2.45,5.28
1890,-6.2,1.07,2.39,5.28
1891,18.84,6.98,2.53,-7.99
1892,6.11,-5.43,2.52,12.42
1893,-18.83,12.92,2.62,0.73
1894,3.51,5.01,2.59,38.32
1895,4.92,-2.0,2.42,-1.26
1896,3.18,8.2,2.52,-10.61
1897,20.33,3.27,2.38,10.2
1898,29.29,4.46,2.34,7.44
1899,3.64,0.33,2.17,-1.75
1900,20.9,3.5,2.2,1.8
1901,19.42,1.61,2.17,-10.02
1902,8.25,0.77,2.23,19.05
1903,-17.12,4.55,2.31,-3.37
1904,32.05,3.13,2.38,13.43
1905,21.26,0.88,2.44,-10.33
1906,0.66,0.53,2.4,22.66
1907,-24.21,3.99,2.57,9.59
1908,39.37,7.08,2.71,-3.78
1909,16.14,0.16,2.63,-1.4
1910,-3.42,5.68,2.74,1.62
1911,3.48,3.13,2.79,8.76
1912,7.14,-0.04,2.81,8.95
1913,-4.78,6.99,3.12,-2.8
1914,-5.51,5.61,2.91,5.65
1915,31.17,4.98,2.97,-5.1
1916,8.19,2.33,2.83,10.32
1917,-18.57,-0.17,2.96,-5.29
1918,18.02,5.15,3.2,-7.1
1919,19.58,-0.54,3.15,-2.7
1920,-14.01,3.64,3.48,-2.3
1921,10.04,12.64,3.56,3.3
1922,29.08,3.25,3.01,18.01
1923,5.42,6.31,3.05,6.07
1924,27.07,5.48,2.84,1.3
