Year,Inflation_Rate_Pct
1876,-6.76
1877,-3.7
1878,-14.58
1879,-1.38
1880,11.91
1881,2.49
1882,5.43
1883,-7.23
1884,-7.79
1885,-8.27
1886,-4.12
1887,3.68
1888,1.78
1889,-5.43
1890,0.72
1891,-0.31
1892,-6.43
1893,2.4
1894,-10.54
1895,2.14
1896,-5.01
1897,0.49
1898,3.91
1899,7.99
1900,7.18
1901,-1.52
1902,6.39
1903,1.26
1904,-0.1
1905,0.96
1906,2.56
1907,5.83
1908,-3.67
1909,7.99
1910,3.53
1911,-7.79
1912,6.6
1913,2.93
1914,1.35
1915,0.92
1916,7.67
1917,17.84
1918,17.28
1919,15.24
1920,15.63
1921,-10.94
1922,-6.16
1923,1.79
1924,0.44
1925,2.43
1926,0.9
1927,-1.93
1928,-1.15
1929,0.0
1930,-2.67
1931,-8.93
1932,-10.3
1933,-5.19
1934,3.48
1935,2.55
1936,1.03
1937,3.73
1938,-2.03
1939,-1.3
1940,0.72
1941,5.12
1942,10.92
1943,5.97
1944,1.64
1945,2.27
1946,8.48
1947,14.39
1948,7.69
1949,-0.97
1950,1.09
1951,7.86
1952,2.28
1953,0.82
1954,0.31
1955,-0.28
1956,1.53
1957,3.34
1958,2.73
1959,1.01
1960,1.46
1961,1.07
1962,1.2
1963,1.24
1964,1.28
1965,1.59
1966,3.02
1967,2.77
1968,4.27
1969,5.46
1970,5.84
1971,4.29
1972,3.27
1973,6.18
1974,11.05
1975,9.14
1976,5.74
1977,6.5
1978,7.63
1979,11.25
1980,13.55
1981,10.33
1982,6.13
1983,3.21
1984,4.3
1985,3.55
1986,1.9
1987,3.66
1988,4.08
1989,4.83
1990,5.4
1991,4.23
1992,3.03
1993,2.95
1994,2.61
1995,2.81
1996,2.93
1997,2.34
1998,1.55
1999,2.19
2000,3.38
2001,2.83
2002,1.59
2003,2.27
2004,2.68
2005,3.39
2006,3.23
2007,2.85
2008,3.84
2009,-0.36
2010,1.64
2011,3.16
2012,2.07
2013,1.46
2014,1.62
2015,0.12
2016,1.26
2017,2.13
2018,2.44
2019,1.81
2020,1.23
2021,4.7
2022,8.0
2023,4.12
2024,2.95
2025,2.72
